iter	Accuracy	Logloss
0	1	0.6042880511
1	1	0.5314946154
2	1	0.4705562273
3	1	0.4176536653
4	1	0.3724495428
5	1	0.3343515816
6	1	0.3007890501
7	1	0.2695755007
8	1	0.2423879709
9	1	0.2194341915
10	1	0.1990574513
11	1	0.1792337363
12	1	0.162926227
13	1	0.1490706639
14	1	0.1355174674
15	1	0.1226360653
16	1	0.1111205138
17	1	0.1020898153
18	1	0.09380195546
19	1	0.0866510652
20	1	0.07909698272
21	1	0.07211388446
22	1	0.06625179636
23	1	0.06102835501
24	1	0.05617965701
25	1	0.05266165096
26	1	0.04823982577
27	1	0.04497417708
28	1	0.0421927611
29	1	0.03971067301
30	1	0.03692598292
31	1	0.03441241183
32	1	0.03213967123
33	1	0.03022872974
34	1	0.02869991755
35	1	0.02716630673
36	1	0.02571740046
37	1	0.02427632792
38	1	0.02283695932
39	1	0.02151555113
40	1	0.02001909116
41	1	0.01900272892
42	1	0.01801376519
43	1	0.01712062841
44	1	0.01641456053
45	1	0.01578392677
46	1	0.01500756958
47	1	0.01437673564
48	1	0.01370367134
49	1	0.01315030004
50	1	0.01267387709
51	1	0.01227759126
52	1	0.01181795214
53	1	0.01143689507
54	1	0.01100797826
55	1	0.01057615072
56	1	0.010156229
57	1	0.009766365397
58	1	0.009444163943
59	1	0.009208669866
60	1	0.008989248365
61	1	0.008669839803
62	1	0.008454137611
63	1	0.008165789164
64	1	0.007943124729
65	1	0.007692484802
66	1	0.007482577093
67	1	0.007266068408
68	1	0.007084910449
69	1	0.006871493781
70	1	0.006687782358
71	1	0.006551014299
72	1	0.006413742104
73	1	0.006269737272
74	1	0.006163255605
75	1	0.006048811481
76	1	0.005936961542
77	1	0.005835198709
78	1	0.005715002604
79	1	0.005599650899
80	1	0.005515041039
81	1	0.005403009148
82	1	0.005283896042
83	1	0.005169694126
84	1	0.005079830314
85	1	0.005004450541
86	1	0.004936421651
87	1	0.004859341137
88	1	0.004794276055
89	1	0.004711362482
90	1	0.004641555621
91	1	0.004578158875
92	1	0.004517007109
93	1	0.004446603958
94	1	0.004374792766
95	1	0.004322567895
96	1	0.004267898442
97	1	0.004217223184
98	1	0.004166175272
99	1	0.004115947767
