iter	Passed	Remaining
0	228	22649
1	239	11754
2	248	8032
3	259	6226
4	270	5143
5	282	4424
6	290	3852
7	301	3463
8	312	3161
9	323	2913
10	334	2707
11	346	2544
12	357	2395
13	369	2268
14	380	2154
15	387	2034
16	395	1928
17	406	1854
18	418	1785
19	430	1720
20	440	1658
21	453	1606
22	464	1555
23	475	1506
24	486	1458
25	497	1416
26	504	1364
27	518	1333
28	530	1298
29	542	1265
30	552	1230
31	564	1199
32	575	1168
33	586	1138
34	598	1110
35	609	1084
36	620	1056
37	634	1035
38	646	1010
39	656	985
40	665	957
41	676	934
42	687	911
43	698	889
44	710	867
45	720	845
46	731	825
47	743	805
48	754	784
49	765	765
50	777	746
51	787	727
52	799	708
53	811	690
54	822	672
55	833	654
56	844	637
57	856	620
58	867	602
59	879	586
60	890	569
61	901	552
62	912	535
63	923	519
64	934	503
65	945	487
66	956	471
67	967	455
68	978	439
69	990	424
70	1001	408
71	1012	393
72	1023	378
73	1034	363
74	1045	348
75	1059	334
76	1071	319
77	1081	305
78	1092	290
79	1104	276
80	1115	261
81	1126	247
82	1138	233
83	1149	218
84	1160	204
85	1176	191
86	1187	177
87	1199	163
88	1210	149
89	1222	135
90	1233	121
91	1244	108
92	1256	94
93	1269	81
94	1280	67
95	1295	53
96	1309	40
97	1323	27
98	1367	13
99	1380	0
