,stateid,statename,cityid,cityname,suburbid,suburbname,geo_point
0,1,NSW,17040,Snowy Monaro Regional,10015,Adaminaby,"-36.01193158762528, 148.786320441595"
1,1,NSW,10050,Albury,10027,Albury,"-36.07369799464406, 146.91346780765934"
2,1,NSW,16200,Parkes,10029,Alectown,"-32.91425516102453, 148.26802074020546"
3,1,NSW,18350,Wingecarribee,10044,Alpine,"-34.40869358826243, 150.53677066431447"
4,1,NSW,15560,Murrumbidgee,10081,Argoon,"-34.91797895821861, 145.6572484339588"
5,1,NSW,10300,"Balranald, Central Darling, Wentworth",10093,Arumpo,"-33.61913168767607, 143.06916606866113"
6,1,NSW,16380,Port Macquarie-Hastings,10171,Banda Banda,"-31.194738034790138, 152.45286391858434"
7,1,NSW,17640,Upper Lachlan Shire,10183,Bannaby,"-34.40979821062745, 149.9949258415723"
8,1,NSW,11650,Central Coast,10189,Bar Point,"-33.49167114135809, 151.17441058810465"
9,1,NSW,13910,Hilltops,10254,Beggan Beggan,"-34.65555946719572, 148.28513083190867"
10,1,NSW,15050,Maitland,10324,Berry Park,"-32.74383041105676, 151.6574718553271"
11,1,NSW,17640,Upper Lachlan Shire,10335,Biala,"-34.595825664579216, 149.26054807608702"
12,1,NSW,15240,Mid-Coast,10363,Bindera,"-32.02599029985981, 151.81823584117245"
13,1,NSW,10800,"Bland, Carrathool, Griffith, Leeton, Narrandera",10372,Binya,"-34.14319451569004, 146.33941563908178"
14,1,NSW,15270,Mid-Western Regional,10377,Birriwa,"-32.123633211733726, 149.47895438698743"
15,1,NSW,14920,Liverpool Plains,10397,Blackville,"-31.629968097103884, 150.25279865506275"
16,1,NSW,15240,Mid-Coast,10419,Blueys Beach,"-32.35031772642125, 152.5298070178508"
17,1,NSW,11400,Cabonne,10432,Bocobra,"-33.10172826955712, 148.53618835513836"
18,1,NSW,17080,Snowy Valleys,10442,Bogong Peaks Wilderness,"-35.52309275112749, 148.38381676009703"
19,1,NSW,15900,Newcastle,10575,Broadmeadow,"-32.924989170549246, 151.73378962817472"
20,1,NSW,19399,Unincorporated NSW,10601,Broughams Gate,"-30.888453538551527, 141.2506616351251"
21,1,NSW,14550,Kyogle,10613,Brumby Plains,"-28.463269657941233, 152.65537262615868"
22,1,NSW,12750,"Eurobodalla, Queanbeyan-Palerang Regional, Shoalhaven",10633,Budawang,"-35.40064066042991, 150.0492204914189"
23,1,NSW,15240,Mid-Coast,10706,Burrell Creek,"-31.9482694254887, 152.30040799286917"
24,1,NSW,15850,Narromine,10712,Burroway,"-32.05865837039361, 148.32626702789148"
25,1,NSW,12850,Fairfield,10739,Cabramatta West,"-33.892382987278175, 150.91361878452247"
26,1,NSW,14170,"Inner West, Sydney",10780,Camperdown (NSW),"-33.88843164836376, 151.18195178060378"
27,1,NSW,14650,Lake Macquarie,10809,Cardiff Heights,"-32.93268150285602, 151.67246890247426"
28,1,NSW,17200,Sydney,10906,Chippendale,"-33.88634510701653, 151.19954853453106"
